family	label	len	qscore	string
letter	ALL/fwd/L10+0	595	-7.0995	BOstiehnssykBctaatuakcvolemecssiomratrlsnsrockWamooikCntifcetsiododroerooiTisycrosvhvecogspsaistatitaeiftuacptnmahietbhauioentstldeoanlnoytoBtgoaiolunednMehiuobdnrueiybosoPfgndebauoonentbcFunuiehttatucepnkdtugoituneedlleMntnehhtnenwtoelcsbreraVdtafhMaeglhelhetsaeoreahsiafctsedbghwrxMsmyftarercsrrBseohetgvrfhmilwlcdronsedetesmanmsEEIAENTFNCOTTRNnmteygrrhwdcluodttuibtlyositisildtdmftaeddorecmnseonlodnboeeihIhdaredpreosntryeaynmitieasrtvseeeaOaffftaluTAelonemeohtraviwraiamlnofntioanthhlnilcaoprvoaeeecitfrshtovgilaalposoernyoeaucvgziocieepeellonyenlodvtcsohmlYtrehhndryveitgsnSaioehswascraapvR
letter	ALL/fwd/L10+1	594	-7.1192	IXtrnaeaieYeioasrTndeeofeyouywhtuesnioocebrceaanoilnhodmtahahcttbcssmrtxdnontsiocLeienonuhptsnchbanhltnohmloyyTayoeYblyncnlryhheesnisgllmGcuihUulelulgCJcaretmueotsrGsepnefembchruclicdcsrycrnoronahhtmnonehmeonenbortHnevirodttleeetlnaanslohitbntoshnteitehliesedrtyhitblenttwkrgwaerihyiawoBeslaaioadVigafeWsdetoiycehdhPmttlmpmclcindmeVOTBTDCIDIMEISItaaeahseiatkdpigahlnloaAihaomlzeaeoootnauisivoocluisenonenilcalesytntostnpulginrwdononsnosfeeiymlNtgoostlcCLpdrpsorieietelimlfnosgrathtcbeoteoosyitwaoinccfsaneiatisreyoekcelrriaggcnauryeeeruescaoaBoludiaslceehoefeilehannoAuboexnheodtvnrsihigtostcee
letter	ALL/fwd/L10+2	594	-7.1865	TIhuwcGnsdettmrhehtvtnutcafrpeienaodvsbiyaoknrldnnegosiascareacheohaeshiyixMsLtfoarnrtvlaaorhgoaalctiNgfellioGolelxoeiodkseethanafanyfioeeorteTplrenlblalrnVhsnifrtnowaoeawtiieoiyklnostcopaisuintvaenoaidraormgnertebatnannnIeilsddNeospstiiolhiieltedhskzteastbhoetbenMavcoctrMiosynosowcxinhlnetdeinfegodfBaboriraoegowieahhefreoeankoeFENCEHOOAGNIOZUtetixntthssoospnoratsefbnnitduyennienrihcnntgenneonnucsueiosyitisMlethupssrmiyntgarngkgeufwrrrrPeewehrroeikOLlrpotnfnwvmeBltotgcntbscoecolcstGcmimeersmooeofouilcnonhgrcnBeknyminlyoodrsatatdsrPaaroriwyrinooloxfesxpslysebdatmrentptotuoaegyetatoaifeeaM
letter	ALL/fwd/L10+3	594	-7.1841	CCetatlcoisscitMlesastshoraohrnpdffaeeaopnrttslJTrwtlmtrstoosuoibiinBcicsniatoytlyygbeeygmryiBatdiahsoismafnuoxirepudnusorinhertsrnelobvttihcfXiItpiouimotaauIdnfaiitarsynaestInnsieeiTiilstearmsienrintntctniyuitihcevhtdgaeMrnibiPawughvoonulotnrcoIgoIeifcbWcuanaheseecaowohiaknitdwrliBittulasXynnyrrbtsdlrewscFnfdaholtceagaonisrasnruREOSXTITOGNFASseinpdbtebdbnelslvsoicaldstaeldscdtsetmiedgehroenvtLptcrrnmimeeseiorwerraoebeiifaseeaearbbhotyfosfotaeamcobITaispieeRaeoiishseiegaiuttoolehehekynonaawalmanifssyisrtioaoeisoedogwlIunrzelonsfteopuorstsesvaffonportpeaenfBbsnesidehehltlucbieeHrhnsneascA
letter	ALL/fwd/L10+4	594	-7.0994	OAbhsioiftTsoneaiytnarsenelseegatttcpilurkirroSahaaheihkiasuesinentdiosEcgcxhoihFegtedrteetinitgnkmetwntEboerBisoSewidrifaftiadoaodrirleosneorOnthavftneniitltogllentystndtrscsegondrnhvolysnlhaavbiapeepohtenIntalehleeootttFHgnupryhnoiomntlifcgaapMestNniouartsilabarakduhietleegoiiaelimhhtfkmRtchoolltruooeniuadhLlamdekrnavttnseltiplYOIBRHNMLTIDTBadctlteiaieetnyfdetfnoleatcnatewetstthesleElthmyteiotiijcgynonatecrMhiienfseTntontqynelveaomywinAtronxweonuNHcpepnyceravnttltnvTertrbhrioboeenTofrtnpeweynocleimeaehtllnvtinrrrhitnrsoeotwdmotxvpsfdbcuxeicbsonrraflamvooiiudltniwereeisryenanaeyyycanieX
letter	ALL/fwd/L10+5	594	-7.2002	IFiBnobaIRheigdrkducraygotlerptpheroanusiisaantmebseocaeglyndengtecetnvvoaBieksearrheoeholunbttiaBeMehgatDrrdictfaroglbnBbttnrtNnmssstedxoOaieghsarenGtsenlitsfribdgaFofoycSbotyhmhsseeeuecpdlegneeznoylutaaygttarlteiypfrhiaoetgyIeiecisliihdofoslnaFteaotgunlosntltesanionyntilafnanntcltaisaoeePoeenmaohircfnhnlkhiohrerrfrtloeeeResesalSFNCPESODHOEIIgmayahtmrtsaheSiwthBsnlesaodtamahhehieitorllWaytiblvhvoooTofrtneghNaornadisrhdsrteupdplirnpwaiazmBtyiaaesfcFIiprygwtminecchondehrtceaeinbyoirehfietdtmantdmiobnoncwacdlsectggoetlhseuprueaporiieeebieospldyiokeeenooceitrttpYregniiirWnbmaehrspioaaordtaK
letter	ALL/fwd/L10+6	594	-6.9784	NHtionalteennatkeifeelslmhospuhearylntnonntdliriBbobfNdthlodadActrovcsiembimstLpcfeanrdefengycavmuuapepkhosyitMtttiugyatibhrgioitchathaGimprnahefnaroeoBsLicitsivatsbofinehcuiabieaharcusdhlsdaidneecfFythsnllsolyarseorEteornshtitsbnenncnnasnuicioylrlgvhulclnotIygchtwnrtpiineprumggeobclnSnronGesleRtcepikagicaeignaaneMoehsrcdrorararSITWHARPNIEUMOTualLiiheiciaerhaioeiaqanbrighnoraelizfnovsvoedahvebeeeuishfietdngairsdgdgcoseucmufirwiicckranttieIhssmrstikISniihfibondteoevaenesmoIkgzpsasteselnehwhorcolyevifrttenoteunoslypTBleonmsornrentmsratescitrvubluicsadrsearhschioortElreaegainnesoptunsnarwnE
letter	ALL/fwd/L10+7	594	-7.1182	IettttlCcamswnoetsfMtntoyeuTubertyilihcftgsebseeiipltofsttuyybnoesieoierpotaeoartoatidIltsitroieetpxisreenhKgcahhoeliwrhtiiuwnlcwoireeneceetIkerualstonrIunamhkpenoterdasaihynramavinsoncnoaradniendifobseeBaoatsdtetvuelrInyTtehnwiBhdgaaebtestnozBooiegoerdhSyfmdtuaihhEorezmgrpopiaAtueoisoytioexhlhoekipnSnolertshdcsancraeystssycnssatNHABDSLESISONCatcenseynogtwgitldrttuveivnoienvtsfsiihretiwvanaifiocusnmelnehwthectpaosaeTdesuiauriatnelsordhmsrLoitptttasXbgndaitivcyhnigetnawwiiteaereniriieoifaaivaeaotnetietaafihnmwiaosshitedeptbnddaehettrhiaanoeeaellntscttiistiooonkodhvlonbaocndlrWmyatdBqneidI
letter	ALL/fwd/L10+8	594	-7.1298	SrecaoFralaeadcthciaheebTsrhnlwateneceometsrateDtteahwiiIhsosydurannidwylucldxyoIrtsnitahssoiiliVewitsoartienoxeesndnieectseogieontengdtibnttitenwlehraottgnaeipckaattuterniistdttetdmlcootyeysansebdiriapMaubshAeoaDessSonaFwamegeduehttnbihlwueleofadeegtisttpaooryuteilfyreeJshmsnnthnTisirohlvtpiHegleregidilPloapoksnaCnsUsashuardLcdoGENSAHUYFGFNVOrhetwmfogintoytaleecieartesltoeirtIbnruyaasaendtzotponatieoifaaoelCyeyvhldhontrsnlenrgtoatfpmtociLfnalhirtBEyogdrahteeoetnaouccainnsdmdoryninscvtfnrsenepvhcbcneonlineephntbubatanortoeaelcteieysenpuafsslrisgalhhhosaunmilJomaeelwcbrukdIieeetlheiudptlS
letter	ALL/fwd/L10+9	594	-7.0550	TerortiiulrdssrsaonrermahunekihriagcagnoretsnstichnceaanneeuiBnlNnesnetbatoiaiettetevssneotcdnstirimhlotefteiiiLwhcngthmohwArisprmceiuustiyosntykhefignwshtwtsneeebkhymmnsgfniegobdcnilonwisriOtvsuycattnaannotemfrsomeialtluiutmteekaeoioiteloraldnfnocdrwneorarvnuMscalStibdoaSanaddtetontxruaseretaaeyrhdtzineaysrrnsodnoooKtndisliboaipLBNVAISAANAEEIaermhiiutnearscnsasoasigcsfdsutoeatygsmpnnCsneaiercelcniccvtfnrtaSaBnseeleenerrglastsohfseioihnhcIhAneamicISricevtpctnuhifpuryhrlifaieBtvoggtBoeeihTufdceeeieoiftdtasortimtapytckeiginctnoeifnndbfgpslusilsoatnooeintsageneosimirineierashvfvsolectehlhoE
