tier	why	phrase	address
1	sentence	BITCOIN IS TOXIC AF	1Nx8TF5kUNo1jKJxG1FdpXHRMqxLBkKNiL
1	sentence	BITCOIN IS TOXIC AF	1N9QZ9VjURVzJsoSn2fZbD67mju4poR5xg
1	sentence	Here's the bitter truth.	1PvnAY16NEzWayVaDFas3z2XLWAJsjSScp
1	sentence	Here's the bitter truth.	1Gnqkpqzv3GimucY77qHTQryttmTpScjKS
1	sentence	Bitcoin was not a reaction to the Global Financial Crisis of 2008.	1EMTmUu7h2w21paDKho1s8RvGr6PFJJ5tm
1	sentence	Bitcoin was not a reaction to the Global Financial Crisis of 2008.	1K28M4ghjpA4evRNk8pBuJ5RsBboPuctN9
1	sentence	It caused it.	1Gq4HprF59i4MGVE5DoqbyNyo9By9yNZLv
1	sentence	It caused it.	1KQXBzdge2dX4YTwt8AobnFjWhbGSotHvJ
1	sentence	Really?	1FQpg6wKCXsr5CdQfyXSkV2uTvcePVtkmA
1	sentence	Really?	1NoJSPmQsbKWXrER5C5sFEk5CvCYKYh2ac
1	sentence	Yes.	1EVZC3AopPyMpTdKY1A8BpXCCQNUqwnZCc
1	sentence	Yes.	1DSgpVRtAsbrwnhuMsrbrLmYj4hoBkChpR
1	sentence	The markets sensed Bitcoin was coming and started to crash.	19rVTmgC33UXb8sfuHtfF9ftZEvSZYi25G
1	sentence	The markets sensed Bitcoin was coming and started to crash.	1HZnhTd2wH7Abocc76rgzQED92ZAx8kVDG
1	sentence	Markets are like that.	1uuJQ88AanEzQ5kgKDQj6TWkecVUA7SEf
1	sentence	Markets are like that.	1ChN17VALEFH1Ur3iBDGQxeL2HUd7JF3H6
1	sentence	They discount stuff in advance.	1FzYP4T88Kt8wJ6vMZFKEDQzUGcvFRqviS
1	sentence	They discount stuff in advance.	1FAVFRHv1YFbWU5vK9BD7V51qXs9CA8ZgJ
1	sentence	Markets are the central nervous system of the global economy.	16pzr1CuFqraQGE95uBeJRABRqTavSQPyw
1	sentence	Markets are the central nervous system of the global economy.	158qq5PzXfgQgbmWG6X7i5xSMW5A8831w1
1	sentence	They are the sum of all our neuroses.	1LFwDESn31t15AUX96whv5LcvdHRq9PfWT
1	sentence	They are the sum of all our neuroses.	1Bm2bXxhf4HZZhx2F3YfNjrajhr14nPBMv
1	sentence	The cypherpunks were publishing the white paper around that time — after years of trying — and a collective panic arose 	12xcAQVJDtjKwUaxSTffg8vU1BEU5Jtp6p
1	sentence	The cypherpunks were publishing the white paper around that time — after years of trying — and a collective panic arose 	1CXUgwqm749vegmp11qQZXWPRgRVMheecE
1	sentence	The Bitcoin rabbit hole was opening — the black hole of the Cosmic Now — and it had fiat markets in its sight.	1PGMr7mBjuejHG9hQD4YW3r6EBXDRoWjMC
1	sentence	The Bitcoin rabbit hole was opening — the black hole of the Cosmic Now — and it had fiat markets in its sight.	1KjZ86MAHJc8rp5oJtUnFwZeHpYZD6Mmy2
1	sentence	In fact, all the chaos you see around you these days is caused by Bitcoin.	19oJ7YaFpYgiZDaofxP482JAgWg6gmAQPX
1	sentence	In fact, all the chaos you see around you these days is caused by Bitcoin.	15tcMa5yYWdvDbRVgw1zZTHDqcHgfhSFRL
1	sentence	And nothing could be better.	124doTa54MD4gezjX24nNijTfzqtKs31bR
1	sentence	And nothing could be better.	1KGXD7WcV2KuQRpVMMoiSsrZJoeSnZoWZW
1	sentence	Nocoiners and shitcoiners, and even some Bitcoiners, consider this view toxic.	18jDiFKLrjvSKwGPtV2ipoWQDgFPMaFCjF
1	sentence	Nocoiners and shitcoiners, and even some Bitcoiners, consider this view toxic.	1ACK1eoeckuYLHWfbHarMaRaDhp1Btx7AJ
1	sentence	Everybody's complaining about "Toxic Bitcoin Maximalists" these days.	18jRVNHN2zF6Gn3NDv5QUS9cRpkgSPfVr2
1	sentence	Everybody's complaining about "Toxic Bitcoin Maximalists" these days.	1DNsS9M6vw9EWvARmU5t4tHnHofeXripzj
1	sentence	Look, toxicity is Layer 1 of the protocol.	16TB39mzY4hgh4QqTU3UZzj7jrHoLLMTMZ
1	sentence	Look, toxicity is Layer 1 of the protocol.	1KSeo8Xe2BMKHMg2Fx2129VLkDENFUzaBn
1	sentence	Fact:          It's Layer 1 for every great thing that's ever been invented or discovered.	14PgdH7NWLeixUpdHJRnCaJBmuzP8YptKX
1	sentence	Fact:          It's Layer 1 for every great thing that's ever been invented or discovered.	1Jx4rRbdQyPjshGvkzKdygTujhAZEAcL4K
1	sentence	It's only the language of the shameless opportunists trying to cash in by riding Bitcoins coattails that give it a bad n	1AcHvS3maTuadwsYWxYgYiZKCQrB6RXcyx
1	sentence	It's only the language of the shameless opportunists trying to cash in by riding Bitcoins coattails that give it a bad n	1ENNSKcS2xFyXaqW4gVijXdDBNRQ7nAn9r
1	sentence	Vitalik Buterin came up with the "Maximalist" epithet.	13Ea2F6o9NLQ5xzCu2NbzuUr4ReKAspb8N
1	sentence	Vitalik Buterin came up with the "Maximalist" epithet.	13oyUa9Fub634RWa7XD1a9gqDMfaDPQtDN
1	sentence	Now he's slinging proof of stake at the mEthereum lab.	1LgMrSWeMugqjwPEwKDtVXZ6GRDHVR84Jg
1	sentence	Now he's slinging proof of stake at the mEthereum lab.	1AoABa7Dj6NyNSByP36AkuXo9kK4BKFjP1
1	sentence	Don't fall for shitcoinery.	1FYEL1jU5h2kbW9qhkz9facL7E6s2Yy4ey
1	sentence	Don't fall for shitcoinery.	178huVn4CVSxQP8S3Mif1h6ZFV2XaiRBy2
1	sentence	Keep your dignity.	1G9e92tSruSvkbZvVxuFmfUrG2FkW5q2f1
1	sentence	Keep your dignity.	1HEdeHo9cnB9jp9a2xJyiMfskdz9cy61xG
1	sentence	Go Bitcoin Toxic Maximalist, the Layer 1 of the whole Satoshi experience.	1DYTNbfvbiGwMRj5s3M6JjtKEyjvnF6GxW
1	sentence	Go Bitcoin Toxic Maximalist, the Layer 1 of the whole Satoshi experience.	1KEhYgYcwZGY8nVoocRXkKT1RhLA2Y8cGa
1	sentence	You wouldn't be digging blindly with your bare hands in the muck of Bitcoin's rabbit hole if this weren't true.	14bGeUvZhbjCK1YUU7kp6qzEZQqv6Etn3c
1	sentence	You wouldn't be digging blindly with your bare hands in the muck of Bitcoin's rabbit hole if this weren't true.	16oCMswdNdmYkuWyTvy5sYd9RPiSTeCwVy
1	sentence	Anything worth hearing is hard to listen to.	1L7LU2v4eNgFA3E4u5XQomMcagWyJ3VsqD
1	sentence	Anything worth hearing is hard to listen to.	15a2FzTZuG19gMBXP1o8fNKKLuzRTNWpF5
1	sentence	Nice, pleasant words from con men and shitcoiners are easy listening for the gullible and unloved.	16H2EjDqFzaTxEXcFuFU2gsd2bsaK5kLtV
1	sentence	Nice, pleasant words from con men and shitcoiners are easy listening for the gullible and unloved.	1Kpv38FuU2yVQ4WrbQUnr59kxpYJJwD6LG
1	sentence	Get some toxicity.	1MAdyV2s56oHxMGwgkrbvxZbJQ1aEzJFAv
1	sentence	Get some toxicity.	1FbJ4ZvbguV1WazH6o5Wi1VPBjXcoZ8bsM
1	sentence	Get some bitcoin.	1KJg3ZW1dqiz6SCwDkLifhspsGDJEs5GBo
1	sentence	Get some bitcoin.	1LhPSfP7NBfjVGijCNgp8XwxWJr4cFYm5Z
1	sentence	Open your heart to Bitcoin.	1QGo3gA62eunJe6LqAKfAeV8o6h3Wf1wGX
1	sentence	Open your heart to Bitcoin.	1NztRyJ89odTLf273K9urBia5LMsccFdKV
1	sentence	It's the freaking UTXO ghetto up in here, y'all.	1BSNC4dLuX4wNHvVdYjzLhgConnm3VphGw
1	sentence	It's the freaking UTXO ghetto up in here, y'all.	1JTNat1rcfmjgsowGy3J2VdUqhheBFapUY
1	sentence	It's funkier than a whole parallel universe full of nothing but George Clinton and James Brown clones.	1ziCjo1pwHv4FakSRxuyyADVJMA7RvSw1
1	sentence	It's funkier than a whole parallel universe full of nothing but George Clinton and James Brown clones.	1GLun1NLTk1v6RA3E1ckTuwVzRD7rcJDy8
1	sentence	It's Martin Luther nailing the Vatican with ultimatums.	1CNGPrdK1abFKCsPmRsApJjttESCvyk8BD
1	sentence	It's Martin Luther nailing the Vatican with ultimatums.	1NpTpHPfkNMntBoqt9Tw52LFD9Z7KfdaDK
1	sentence	It's the sound of skin being ripped off live central bankers tied to a burning stake.	1NmASQiauyebWcRHyB2zYMtD13yrQ94mLE
1	sentence	It's the sound of skin being ripped off live central bankers tied to a burning stake.	1ECLs19VNvvyJWJMoeweQqedSWcmkWwtny
1	sentence	Gotta be this way.	1F7vaNL9rKCqdNTeXPxsaANhp31oFBtQKi
1	sentence	Gotta be this way.	1DWBXGVPPzC7yVBcNMbsY3r4wA4JtondXg
1	sentence	Forty years of dumb post-1971 fiat money nonsense (and 10 years of watching Peter Schiff miss buying bitcoin since I sta	19PB5ADzvXD5RTqAsYUvKrUYLw5JVtgLcU
1	sentence	Forty years of dumb post-1971 fiat money nonsense (and 10 years of watching Peter Schiff miss buying bitcoin since I sta	1HZ8FSiTkZpD1HAx3TFccSTr5P1h4XZTBX
1	sentence	The collective unconscious, controlled now by psychotic cats, plays "Friends" reruns all day in our heads.	1FjVuQPw2jnBuikZ6jdkMUgqb8qnikQ4Aw
1	sentence	The collective unconscious, controlled now by psychotic cats, plays "Friends" reruns all day in our heads.	13S59cZHFdTuUwhD6ksFQEw8KKUqnd1Leg
1	sentence	Our imaginations and inventiveness have been euthanized by the rancid catnip of fiat money.	1HwkU3FVyWgekkMdzR7DT778wRBebXFqmQ
1	sentence	Our imaginations and inventiveness have been euthanized by the rancid catnip of fiat money.	1HSeWQEqY6C18NAEa6FRanymz9hisuarPo
1	sentence	Fortunately, bitcoin puts an end to the paper chase Manhattan Bank money laundering lobotomy.	1KQGhUmaNcnUzVmmWUWNVWscZbmetv3qrs
1	sentence	Fortunately, bitcoin puts an end to the paper chase Manhattan Bank money laundering lobotomy.	1DKsZknpn5UP9WDqSueGUhX3X9LULk9fjA
1	sentence	It's a stun gun to the genitals.	19J4AuDPpTqVaGxHu4zp56GpSqvmX3KvAM
1	sentence	It's a stun gun to the genitals.	1C2LRPzndennVALXXTsYFAYkktFL4okbys
1	sentence	A monetary defibrillator to the treasure chest.	1CHsg5o2GDUypTB2ruZxFGDiSAMwNJV6TM
1	sentence	A monetary defibrillator to the treasure chest.	14M9wXfVmxXmnJQVCTW1ojEG4ppcuaskhj
1	sentence	Don't believe me?	1KxsGEpPkZpF3VipARDXahZocPpFD152aE
1	sentence	Don't believe me?	1EedN41W4yHFmfVK3iN3pJ2ndLAbkPDZg1
1	sentence	Have you seen the president of El Salvador trolling the International Monetary Fund (IMF) on Twitter?	1G88SqapmFaS72Gcz6hqr8EvNkhqTtRKWA
1	sentence	Have you seen the president of El Salvador trolling the International Monetary Fund (IMF) on Twitter?	1ETEkdjQX33THhoYnGZBP3615jQ33DeKff
1	sentence	He's taunting them, telling them he's "buying the dip." I tweeted President Nayib Bukele when he announced he was going 	1NwpvJWrZj8vuDHAjT7ANwb1XSPd9YS8HA
1	sentence	He's taunting them, telling them he's "buying the dip." I tweeted President Nayib Bukele when he announced he was going 	14pqX1kQCKz1SJEqtn7NwtEPLosUvX7EJg
1	sentence	I tagged Mike Novogratz in the tweet, figuring he could sell a bunch to his Wall Street crony pals, but so far he hasn't	1D9ShRZ6YUPKxR2PbGGgpii4zpfYczAvGm
1	sentence	I tagged Mike Novogratz in the tweet, figuring he could sell a bunch to his Wall Street crony pals, but so far he hasn't	1F4t4WdJiDbcbaZniPfjS1YmWHked5oi8V
1	sentence	I don't really trust that guy.	1B6cKhgycYPCvqrfPmCyekYeoDwdPWbQnE
1	sentence	I don't really trust that guy.	1FESRqYzcjNfKtNGGjocT7SPtaPNXLVicc
1	sentence	Maybe because he's a shitcoiner at heart.	1PdsVf6Xji7RGUP22tTfgDsGpUV2N6oTnx
1	sentence	Maybe because he's a shitcoiner at heart.	1NuKFTRg1gidNq8CEmcCSdGrjjusGqhohh
1	sentence	Meanwhile, back in El Salvador, 42% of the country is now hyperbitcoinized (at the time of writing).	1KzbSmbbv8tCUPJd5cirx3UwQM8XAShUk5
1	sentence	Meanwhile, back in El Salvador, 42% of the country is now hyperbitcoinized (at the time of writing).	1sCVWtwYH7omYTckm6B5jZkQPvY3jYx14
1	sentence	Jack Mallers' Strike app has gone from 20,000 new sign-ups a day to a mind-bending 100,000 and growing.	1PB6pKFMx6wPkGCeSRACkQBGVW8XaBqshn
1	sentence	Jack Mallers' Strike app has gone from 20,000 new sign-ups a day to a mind-bending 100,000 and growing.	1CmXRnH8EdoYsSLkUn8MBHv7VNsKwh9Zp1
1	sentence	At this rate, the whole country will be Toxic Bitcoin Maximalists within six months.	1DfsEYV6upWDU7LYmt6vvBzM85NyCaV2AK
1	sentence	At this rate, the whole country will be Toxic Bitcoin Maximalists within six months.	1CQYjGdkfMhpRFHo9edqwfR8uHYnKXw6b6
1	sentence	(Sorry Bhutan, you fell for that snake oil salesmen over at XRP.	16QcSx4yFohpJAXxEAkinELBE5ueKBQJmk
1	sentence	(Sorry Bhutan, you fell for that snake oil salesmen over at XRP.	1Ep8sXhyp244Bb6cPaeVtz7RA2XJ8RM3wq
1	sentence	Get ready to experience shitcoin hell.	12bYzRZGzH9d6vzgDBqRHovrxx9ALQJuae
1	sentence	Get ready to experience shitcoin hell.	1C4gnRACtju5C1yXSpid3qB99rYM2UQzDk
1	sentence	Has anyone heard from Roger Ver lately?	12pK6NAVkf6G5RtQpgu9U3TFXftqgtnqng
1	sentence	Has anyone heard from Roger Ver lately?	12jnbvEEpbsU117gxZauZm3VE4eTWUPZnq
1	sentence	Big blockers got their heads ripped off during the Block Size War of 2017 and it's been going downhill ever since.	1Q1qD61fHhPrVwa253zVhgsW4qrrfcCeDp
1	sentence	Big blockers got their heads ripped off during the Block Size War of 2017 and it's been going downhill ever since.	1Bo9ftk2GKEke6bJkG9DUyWiBsDzmn3ZWx
1	sentence	Particularly for Faketoshi and his army of high-priced London legal hacks who harass old women and children (and Peter M	1LhaTWTu6gCwq6v3AnJHCvXmjLtvNcbra9
1	sentence	Particularly for Faketoshi and his army of high-priced London legal hacks who harass old women and children (and Peter M	1DSPTHTXavDN1SfTAFNJcJ91qCWdK8A572
1	sentence	London is a scammer paradise.	146MmJvPvZfH5XoMQfEQdKVmhRMvVw1t6i
1	sentence	London is a scammer paradise.	1JuFeLbX2dr3sT8Tt33yzocUwKBoEXY9pK
1	sentence	Full Stop.	1DU6SQSTWiGy9ma221eys6MmjVuiTsvxCC
1	sentence	Full Stop.	1PMJGvF1BwqdpuG1Cfh7v94PeV7XSAMSkz
1	sentence	EVERY SINGLE ONE OF THE BITCOIN WANNABES — BCH, BSV, ETH, XRP, ADA, AND 12,000 OTHER SHITCOINS, PLUS FIAT MONEY AND GOLD	169NBnERK7mVF6x75eU7ujDvA9PN9Hf4gc
1	sentence	EVERY SINGLE ONE OF THE BITCOIN WANNABES — BCH, BSV, ETH, XRP, ADA, AND 12,000 OTHER SHITCOINS, PLUS FIAT MONEY AND GOLD	17p598ry67P7Zia6LqnHrnXfEzwdZBMF8S
1	sentence	It's a guaranteed, mathematical certainty.	14tJMpu2H6AHw3ux8zZTxPpWqWS9GrhV4u
1	sentence	It's a guaranteed, mathematical certainty.	12R6AaiMwDvJcT6Jkk2QVurL7Fiyp63TZo
1	sentence	Let me explain why, and this might be the first time you're hearing this, bitcoin was designed to be a 51% attack on the	1M6XZ28i7G9k2ajunehka1qcjhCuuZgR2F
1	sentence	Let me explain why, and this might be the first time you're hearing this, bitcoin was designed to be a 51% attack on the	14XEkC9SErQw7hr9buTZoyWi3NVuzdn5hL
1	sentence	Shitcoins, fiat and gold will starve to death as the result of Bitcoin's insatiable conquest of all available energy.	1D6ZfBpSwgmkMsTcjmNrHdwLrbSB8xCgk6
1	sentence	Shitcoins, fiat and gold will starve to death as the result of Bitcoin's insatiable conquest of all available energy.	1HFyJPCvHTedYY2sAmLCbHt2oMVesZ2oP6
1	sentence	And as bitcoin starves shitcoins, fiat and gold to death, it simultaneously demonetizes war, violence, hatred and the st	1FJ3Zj9oTuhjWnaMt2AHqQkb7aMAYB7kq8
1	sentence	And as bitcoin starves shitcoins, fiat and gold to death, it simultaneously demonetizes war, violence, hatred and the st	12rVQtpK4izb2uKHPxQwABSs6ZuMCXpAh7
1	sentence	It does this by monetizing, for the first time in human history, peace, love and understanding (Elvis Costello was right	18R2uFXf353BqArSTGhh8MeW95JM7jnvq9
1	sentence	It does this by monetizing, for the first time in human history, peace, love and understanding (Elvis Costello was right	161LvMA6UmfjncbHhS3zqgniv3dnBjLTe2
1	sentence	We've never had an economy and a money that incentivizes love before until bitcoin.	1GP5wv4YjuCfwmCF7QBBVDH867K9vYD5Fj
1	sentence	We've never had an economy and a money that incentivizes love before until bitcoin.	15t9h9YspbJtm6SCW5QTBimiqdyweR6E2d
1	sentence	Love opens up the collective unconscious and our joint inner cosmic being.	15GAQUaC72MEzboivoyntsSnRTWMqgdAL9
1	sentence	Love opens up the collective unconscious and our joint inner cosmic being.	12wkXAUPk2XgzRUWrm1Up6gFPmgz4vWN5j
1	sentence	The economy of love is infinitely more efficient than hate and war.	15meomnswzSKSW3wne7Uymo1GcsWfjF3jX
1	sentence	The economy of love is infinitely more efficient than hate and war.	1DwxC4PVZwsggpoQGFpCuf5Mwrppn5i1mD
1	sentence	I listen to these eggheads — Michael Saylor, Nic Carter, Marty Bent —     who spend their days pouring over spreadsheets	1EY2aho23QAmxXzUZQwccr1sULghrouJZc
1	sentence	I listen to these eggheads — Michael Saylor, Nic Carter, Marty Bent —     who spend their days pouring over spreadsheets	18x6aiaP7E4TD13Ze584DcNswku3KvCgXL
1	sentence	The numbers don't lie.	18PYnfBZMFLtmYKD2R2JcsJpDAKtjJHUW3
1	sentence	The numbers don't lie.	1AZSwZgwa7LS1yqrW8J3TPimnB2UCULZZx
1	sentence	The energy industry in its current form is gargantuanly wasteful and requires money printing and wars to keep it going —	1DtW4J7HVwVZmXrnoq37pw84ot8XBLqbZZ
1	sentence	The energy industry in its current form is gargantuanly wasteful and requires money printing and wars to keep it going —	1DygSDbpLfxBCyKq4NzDvxcYAxtmoBqsyo
1	sentence	America left $85 BILLION worth of hate toys in Afghanistan, for example, for a war that some estimate cost $2 trillion f	1K9C1nDAhs6FB9LqiKK3aW7bGHmaqUvKZz
1	sentence	America left $85 BILLION worth of hate toys in Afghanistan, for example, for a war that some estimate cost $2 trillion f	1PsgLiwCEaFqAdseJbRxNQtPMPhF5AqhY1
1	sentence	BITCOIN FIXES ALL THIS by replacing oil-dripping, corpse-ridden, poppy-harvesting fiat money with perfect bitcoin.	17uHjMiUqKCPSPtBv1HYtVXPVTx6iQnoHt
1	sentence	BITCOIN FIXES ALL THIS by replacing oil-dripping, corpse-ridden, poppy-harvesting fiat money with perfect bitcoin.	1B4gDAdashHgcfsPyKpPPKut9YzyeQ3eeP
1	sentence	Remove the war incentive, and you remove the hate incentive.	19xt29wAD3zrzRz926U23iZHJ4yFZ8Et76
1	sentence	Remove the war incentive, and you remove the hate incentive.	19Ery8qaJpq2WVDHccw8LVaGP7vC4HMMzf
1	sentence	Bitcoin fills the gap with love; our most natural tendency if given a chance.	1JByiAPs4CaHAPokSWe8XQ25xwzX46oLUo
1	sentence	Bitcoin fills the gap with love; our most natural tendency if given a chance.	1Gw2DfKjmH4AY9A3B5FXvqiEmyWnkLrT1r
1	sentence	The warmongers will start mining bitcoin for sure.	1LfF4NVdkJ9XVdELiUToCub8zL47hihzyk
1	sentence	The warmongers will start mining bitcoin for sure.	1EiSTQkXLFdsgT48wxPSVMVEyGP8tMh47N
1	sentence	It's a fact baked into the game-theorized Bitcoin protocol, observable by anyone choosing to see it, right there in the 	1LpXiNH8ki9tdLfMTNXFp5SAJPgrXbeJ8N
1	sentence	It's a fact baked into the game-theorized Bitcoin protocol, observable by anyone choosing to see it, right there in the 	132rjhxsMwVoHxaXEmxmHqFykUyg95pUWz
